datetime_eri_b,band_eri_b,ra_eri_b,dec_eri_b,rms_ra_eri_b,rms_dec_eri_b,datetime_eri_c,band_eri_c,ra_eri_c,dec_eri_c,rms_ra_eri_c,rms_dec_eri_c,n
2023-08-26T09:06:21Z,V,63.826045,-7.680042,0.043,0.048,2023-08-26T09:11:03Z,I_c,63.824911,-7.67816,0.039,0.037,4
2023-08-27T09:28:39Z,V,63.826046,-7.680036,0.044,0.036,2023-08-27T09:30:56Z,I_c,63.824922,-7.678169,0.041,0.029,4
2023-09-15T09:03:58Z,V,63.826029,-7.680024,0.044,0.043,2023-09-15T09:06:15Z,I_c,63.824865,-7.678151,0.047,0.038,5
2023-09-16T08:43:42Z,V,63.82601,-7.680101,0.03,0.031,2023-09-16T08:45:59Z,I_c,63.82486,-7.678234,0.028,0.035,5
2023-09-27T08:14:12Z,V,63.825988,-7.680063,0.061,0.047,2023-09-27T08:14:57Z,I_c,63.824821,-7.678206,0.059,0.05,4
2023-09-30T08:09:15Z,V,63.825975,-7.680077,0.039,0.033,2023-09-30T08:11:12Z,I_c,63.824826,-7.678206,0.031,0.034,4
2023-10-01T07:54:07Z,V,63.825969,-7.680116,0.042,0.039,2023-10-01T07:53:35Z,I_c,63.824831,-7.678283,0.037,0.037,4
2023-10-05T06:58:57Z,V,63.825959,-7.680164,0.065,0.044,2023-10-05T07:01:16Z,I_c,63.824835,-7.678318,0.063,0.06,5
2023-10-08T07:13:52Z,V,63.82598,-7.680152,0.031,0.036,2023-10-08T07:16:10Z,I_c,63.824835,-7.678294,0.04,0.038,5
2023-10-09T07:08:44Z,V,63.825977,-7.680163,0.044,0.041,2023-10-09T07:11:04Z,I_c,63.824843,-7.678286,0.041,0.031,5
2023-10-12T06:54:00Z,V,63.825959,-7.680183,0.075,0.056,2023-10-12T06:56:17Z,I_c,63.824816,-7.678322,0.053,0.039,5
2023-10-13T06:54:01Z,V,63.825927,-7.680163,0.039,0.042,2023-10-13T06:58:32Z,I_c,63.824808,-7.678302,0.046,0.039,4
2023-10-15T06:48:44Z,V,63.825934,-7.680177,0.032,0.034,2023-10-15T06:50:57Z,I_c,63.824807,-7.678309,0.039,0.037,5
2023-10-16T06:51:11Z,V,63.825937,-7.68019,0.061,0.038,2023-10-16T06:53:24Z,I_c,63.824791,-7.678332,0.051,0.044,4
