2459439.58,10.947,0.005
2459440.57,10.802,0.004
2459457.5,11.743,0.007
2459458.514,11.796,0.009
2459460.497,11.921,0.009
2459462.504,11.798,0.008
2459466.511,10.54,0.003
2459472.504,11.188,0.005
2459474.497,11.193,0.006
2459475.492,11.298,0.006
2459476.494,11.208,0.007
2459610.847,11.665,0.008
2459612.855,11.803,0.009
2459613.846,11.845,0.009
2459615.841,11.956,0.009
2459616.85,11.872,0.008
2459617.855,11.703,0.007
2459618.845,11.262,0.006
2459619.827,10.944,0.005
2459625.855,11.152,0.006
2459629.862,11.179,0.006
2459747.403,11.282,0.007
2459748.440,10.779,0.005
2459749.473,10.549,0.006
2459751.510,10.861,0.007
2459752.481,10.945,0.007
2459753.512,10.989,0.006
2459754.472,11.043,0.006
2459755.469,11.089,0.006
2459757.460,11.168,0.007
2459760.535,11.276,0.005
2459761.470,11.318,0.005
