date,time,ra_centre,dec_centre,x_moon,y_moon
'20230228','210026',77.83476,9.3018,1725,3215
'20230301','205710',92.65466,5.8333,1375,3456
'20230302','221238',106.11969,13.0316,2161,2233
'20230306','222643',129.74629,4.8424,3263,2367
'20230308','024721',167.59639,-3.0315,1445,3060
'20230310','231525',186.29001,-22.0852,1494,3039
'20230312','000257',205.38243,-19.6584,1437,2671
'20230313','055037',231.38987,-31.6809,1548,2719
'20230315','061751',255.97450,-23.7852,1609,1949
'20230316','063722',269.66706,-19.0550,1993,2019
'20230319','062119',305.37148,-24.7099,1674,2631
'20230320','061157',326.24245,-37.1021,1279,2612
'20230329','212049',102.28791,4.6167,1610,3681
'20230330','214822',111.59561,-0.6297,1422,3585
'20230331','210727',107.59585,8.4458,3368,1431
'20230401','214925',132.88630,6.0388,2112,2793
'20230403','214803',161.63900,-1.4207,1841,2630
'20230404','223959',175.71035,6.7468,2107,1480
