x,y,star_id
1899, 195,'eta Ara'
2049, 347,'zet Ara'
2256, 176,'gam Ara'
2282, 229,'bet Ara'
2513, 524,'alp Ara'
2780, 867,'tet Sco'
2989, 950,'iot01 Sco'
2963, 1047,'kap Sco'
2915, 1213,'lam Sco'
2874, 1222,'ups Sco'
2505, 1012,'eta Sco'
2343, 1158,'zet02 Sco'
2411, 1400,'mu02 Sco'
2474, 1609,'eps Sco'
2425, 1996,'tau Sco'
2379, 2118,'alp Sco'
2290, 2194,'sig Sco'
1468, 1797,'phi01 Lup'
1555, 1503,'gam Lup'
1846, 1587,'eta Lup'
1938, 1653,'tet Lup'
1811, 1869,'chi Lup'
1939, 2084,'rho Sco'
2006, 2239,'pi Sco'
2077, 2425,'del Sco'
2188, 2565,'bet01 Sco'
1722, 2101,'tau Lib'
1720, 2192,'ups Lib'
2818, 2999,'zet Oph'
1666, 3318,'bet Lib'
2232, 3625,'mu Ser'
1244, 2970,'alp02 Lib'
594, 350,'bet Cen'
880, 346,'alp01 Cen'
360, 786,'eps Cen'
975, 1215,'alp Lup'
752, 1295,'iot Lup'
933, 1521,'eta Lup'
1169, 1454,'bet Lup'
1182, 1512,'kap Lup'
1222, 908,'zet Lup'
1250, 1111,'kap01 Lup'
1203, 1218,'pi Lup'
1251, 1320,'lam Lup'
1393, 1330,'eps Lup'
1420, 1560,'del Lup'
500, 1202,'zet Cen'
425, 1484,'mu Cen'
420, 1530,'nu Cen'
566, 1309,'ups02 Cen'
532, 1356,'ups01 Cen'
523, 1514,'phi Cen'
611, 1575,'chi Cen'
618, 1850,'tet Cen'
32, 1784,'iot Cen'
611, 2404,'pi Hya'
1355, 2415,'sig Lib'
